year,event_id,fleet_class,rank,sail_number,boat_name,boat_type,owner_skipper
2022,15068,Classics - Pursuit,2,KR 1511,Terpsichore *,S&S 34,Bill Haliburton
2022,15068,J105,5,USA 51563,VTack,J 105,John Sapp
2022,15068,Distance 4,10,Can 077,Valkyrie *,C&C,Val Doan
2022,15068,Bluenose,11,282,Vera,Bluenose,Chris von Maltzahn
2022,15068,Classics - Pursuit,6,13612,Vixen *,F&C40,Scott Covey
2022,15068,Bluenose,20,257,Wahoo,Bluenose,Henry Demone
2022,15068,Distance 2,6,USA 38,Wink,J 100,John Rankin
2022,15068,Farr 30,1,CAN 7,Yardsail,Farr 30,Roby Douglas
2022,15068,Distance 2,1,CAN 56,Young Blood,J 100,Larry Creaser
2023,15681,Bluenose,21,CAN 333,333,Bluenose,Hubert Watlington
2023,15681,Bluenose,23,Can 68,Adriatic,Bluenose,Stewart Creaser
2023,15681,Distance 1,12,CAN 5095,Agincourt,Farr 40,Bob Cragg
2023,15681,Inshore 2,2,CAN 162,Apres Ski,Laser 28,Tony Thompson
2023,15681,Pursuit 2,1,CAN 27,Auster,Roue 20,Robert/Ann Merchant/Power
2023,15681,Sonar,2,CAN 629,Barbarian,Sonar,Rob Barbara
2023,15681,Distance 1,10,CAN 35034,Barchetta,1D35,Steve Davies
2023,15681,Inshore 2,10,5461,Bare Leg,J24,Sarah Flanagan
2023,15681,Distance 1,7,CAN 54554,Bella J,J133,Raymond Rhinelander
2023,15681,Distance 1,13,CAN 51450,Black Pearl,J 120,ross leighton
2023,15681,Inshore 2,12,256,Boat X,J30,Shaun Carey
2023,15681,Distance 1,4,CAN 144,Brilliance,J 120,Richard Calder
2023,15681,Pursuit 1,7,51,Butterfly*,R-Class,Jessica Brown
2023,15681,Inshore 2,13,CAN 1418,Buzz,J 27,Bernd Hackstein
2023,15681,Inshore 1,13,32,Catch the Wind,C&C 38,Steve Adams
2023,15681,Pursuit 2,4,22,Cavalier,Roue 20,Andrew J Murphy
2023,15681,Distance 1,6,CAN 39503,Chaos,Farr 395,Mark Gosine
2023,15681,IOD,2,Can 12,Coachman,IOD,Dave Mosher
2023,15681,Inshore 2,4,142,Colmonell,C&C 33,Scott Christie
2023,15681,Inshore 2,3,CAN 133,Completely Wound Up,Laser 28,Greg Jordan
2023,15681,Distance 2,7,CAN 25444,Crackerjack!!!,J 35,John Traves
2023,15681,Distance 2,3,CAN 69,Crows,J 100,Paul Rafuse
2023,15681,Bluenose,22,B 88,Crusader,Bluenose,Dave Tzagarakis
2023,15681,Bluenose,19,342,Dark 'n' Stormy,Bluenose,Julie Mosher
2023,15681,Inshore 2,5,CAN 33149,Dark Water,C&C 33,Donald K Walker
2023,15681,Bluenose,14,469,Dart,Bluenose,John Grantmyre
2023,15681,Distance 1,1,CAN 51918,Deviation,Farr 40,Stu McCrea
2023,15681,Pursuit 2,5,Can 28,Devious,Roue20,Jim Spatz
2023,15681,Distance 2,2,Can 95,DogParty,J-100,Terry Mckenna
2023,15681,Sonar,3,CAN 571,Echo,Sonar,John Franklin
2023,15681,Inshore 2,7,CAN 7,Elida*,IOD,Jay Nadelson
2023,15681,Distance 2,6,CAN 229,Falcon,J 35,Todd Wilson
2023,15681,Bluenose,25,379,Faster,Bluenose,Shannon Black
2023,15681,Bluenose,30,274,Feather,Bluenose,Mike Wilson
2023,15681,Bluenose,13,CAN 101,Fish 'n Chips,Bluenose,Christian Luthi
2023,15681,Distance 4,2,71,Flashdance,C&C 27 mkV,Donald Gass
2023,15681,Bluenose,17,B221,Flying Scotsman,Bluenose,Mark Dunkley
2023,15681,Inshore 1,1,CAN 4,Fourplay,Melges 24,Justin BEAN
2023,15681,Bluenose,3,22,Geronimo,Bluenose,Drew Mitchell
2023,15681,Pursuit 1,1,CAN 4964,Gersemi,Viking 33,Paul Bezanson
2023,15681,Bluenose,2,CAN 182,Ghost,Bluenose,Evan Oulahen
2023,15681,Bluenose,16,246,Good Energy,Bluenose,Colin Campbell
2023,15681,Distance 4,1,CAN 87,Good Friday,C&C 32,Philip Burchinshaw
2023,15681,Inshore 1,10,Can 317,Great White,J70,Mitchell Horn
2023,15681,Distance 4,4,480,Gryphon,C&C 29 Mk 2,Harry Fitzgerald
2023,15681,Bluenose,18,Can 162,Hackmatack,Bluenose,Nicholas Lewin
2023,15681,Distance 1,8,CAN 51111,Hard Eight,Tripp41,Savannah Taylor
2023,15681,Pursuit 2,6,D207,Harmony *,International folk boat,Arif Samad
2023,15681,Pursuit 1,3,1,Hayseed IV,P Class,Stephen Dauphinee
2023,15681,Inshore 1,2,57,Head Games,J 29,Terry Schnare
2023,15681,Farr 30,2,CAN 65,HeadFirst3,Farr30,Peter Toombs
2023,15681,Distance 1,5,15005,Helix,J 120,Jordan MacNeil
2023,15681,Inshore 2,6,34440,Highlander,Dehler db1,Dan Pride
2023,15681,Bluenose,1,BN 112,Hot Sauce,Bluenose,Lisa Ross
2023,15681,Distance 4,5,131,Hotspur,Santana 23,Tyson Hynes
2023,15681,Pursuit 2,2,can 131,Intrigue,International Dragon,Bryan Palfreyman
2023,15681,Inshore 1,9,CAN 329,Jaeger,J 29,Chris Power
2023,15681,J105,5,USA 500,Jahmon,J 105,Carl Davis
2023,15681,Distance 1,2,CAN 78,Jane,J 120,Andrew Childs
2023,15681,Inshore 1,12,214,Joyride,J 29,Kevin Dempsey
2023,15681,Inshore 1,11,CAN 491,Joyridin',J70,Graeme Carr
2023,15681,Inshore 2,1,CAN 008,Just Add Water,J 30,Jesleine Baker
2023,15681,Distance 4,3,566,King of Normandy,C&C 27 mk3,François Guitton
2023,15681,Sonar,7,CAN 755,Lugar,Sonar,Judy Lugar
2023,15681,Distance 2,5,CAN 34539,MacIntosh,Custom,Durk Steigenga
2023,15681,Bluenose,10,B 116,Mahaska,Bluenose,Elliott/Erik Demone/Koppernaes
2023,15681,Farr 30,4,CAN 66,Matador,Farr 30,Gregory Blunden
2023,15681,J105,1,CAN CAN506,McMac,J105,Sean/Rory McDermott/Macdonald
2023,15681,Bluenose,5,69,Miss Behavior,Bluenose,Ross Romney
2023,15681,J105,4,CAN 606,MoJo,J 105,James Mosher
2023,15681,Sonar,6,CAN 462,Model T,Sonar,Graham Hart
2023,15681,Bluenose,32,253,MoneyShot,Bluenose,Casey Leblanc
2023,15681,Farr 30,1,47,Mongoose,Farr 30,Ben Maloney
2023,15681,Distance 2,8,CAN 54,Njord,B 36.7,Blaine MacNeil
2023,15681,Pursuit 1,5,23,OUT 'N ABOAT*,J 9,Don McAlpine
2023,15681,Inshore 2,9,CAN 34855,On The Verge,C&C 33,Steven Robertson
2023,15681,Farr 30,3,CAN 28,One More Time,Farr 30,Rob Gale / Ed Steeves
2023,15681,Distance 1,11,71221,Overdraft,Henderson 30,James Gogan
2023,15681,Distance 4,7,11,Owes Me Nothing,Express 20,Andrew Bell
2023,15681,Sonar,1,CAN 754,PING,Sonar,Andreas Josenhans
2023,15681,Inshore 1,5,222,Painkiller,J 29,Paul Fillbee-Dexter
2023,15681,Inshore 1,4,117,Paradigm Shift,J29,don williams
2023,15681,Distance 1,14,51889,Pendragon,CM 1200,Shayne Hall
2023,15681,Pursuit 1,6,R11,Penobscot *,R Class,Lindsay Merrithew
2023,15681,Bluenose,27,382,Phantom II,Bluenose,David Wilson
2023,15681,Inshore 1,7,CAN 8,Poohsticks,J 92,Colin Mann
2023,15681,Bluenose,6,347,Privateer,Bluenose,Connor Mraz
2023,15681,Pursuit 2,7,CAN 323,ROAM *,Beneteau 323,Stephen Perrott
2023,15681,Inshore 2,11,CAN 238,Raido,Laser 28,Keith Davidson
2023,15681,Distance 1,3,39512,Rampage,Farr 395,Graham Roy
2023,15681,Bluenose,11,B85,Rebel,Bluenose,Thomas Murphy
2023,15681,Bluenose,8,B 138,Res III,Bluenose,Mike Hill
2023,15681,IOD,3,CAN 11,Restless,IOD,Ted Murphy
2023,15681,Distance 4,6,4097,Roguewave,Viking 28,Elizabeth Whyte
2023,15681,Inshore 2,8,863181,Rollback,Laser28,Margo Coughlin
2023,15681,Bluenose,31,238,Rudolf,Bluenose,Eric Siegel
2023,15681,Inshore 1,6,CAN 31991,Rumblefish,J 29,Matt Wawrzyszyn
2023,15681,Distance 2,4,CAN 105,Rush,11M OD,Andrew Boswell
2023,15681,Sonar,5,CAN 835,SOT After,Sonar,Olin Bailly
2023,15681,Bluenose,28,82,Sandpiper,Bluenose,Geoffrey Dalzell
2023,15681,Inshore 1,3,CAN 34429,Scotch Mist 40,J 29,Chris MacDonald
2023,15681,Bluenose,9,247,Scout,Bluenose,Michael Bowen
2023,15681,Farr 30,6,CAN 29,Second Thoughts,Farr 30,Wedlake / Bliss / Myrden
2023,15681,Pursuit 1,2,CAN P3,Seneca *,P Class,David Creighton
2023,15681,Bluenose,15,CAN 266,Shaken Knot Stirred,Bluenose,Malcolm Fraser
2023,15681,J105,2,USA 351,Shipyard J105,J105,Bradison Boutilier
2023,15681,Sonar,4,CAN 366,So-Gnarly,Sonar,Thomas Dauphinee
2023,15681,Bluenose,20,479,Something's Bruin,Bluenose,Steve Stairs
2023,15681,Bluenose,24,B 284,Spectre,Bluenose,Emily Petley-Jones
2023,15681,Distance 1,9,49,Spice,J 44,Chris Campbell
2023,15681,Bluenose,29,723,Spray,Bluenose,Sean Pearce
2023,15681,Inshore 1,8,Can 800,Spray,Etchell,Rebecca Swan
2023,15681,IOD,1,13,Storm,IOD,Peter Wickwire
2023,15681,Bluenose,7,227,Teazer,Bluenose,Jason Mraz
2023,15681,Pursuit 2,3,KR 1511,Terpsichore,S&S 34,Bill Haliburton
2023,15681,Distance 4,9,14915,To'Mater 3,C&C 25,Warren Webber
2023,15681,Bluenose,26,CAN 124,Troubadour,bluenose class sloop,Paul Conrod
2023,15681,J105,3,USA 51563,VTack,J 105,John Sapp
2023,15681,Bluenose,12,282,Vera,Bluenose,Chris von Maltzahn
2023,15681,Pursuit 1,4,CAN Q5,Virginia,Universal Q,John w Jr Wurts
2023,15681,Bluenose,4,B 257,Wahoo,Bluenose,Henry Demone
2023,15681,Distance 4,8,117,Wai Whare,S2 7.9,Anthony Steven
2023,15681,Distance 4,10,6307,Windward,Hunter 30-2,Jeff Bethune
2023,15681,Farr 30,5,Can 7,Yardsail,Farr 30,Ryan Gallant/ Nathan Dunn/ Jennifer Aftanas
2023,15681,Distance 2,1,CAN 56,Young Blood,J 100,Larry Creaser
2024,16408,Farr 30,7,USA 30,.30-30,FARR 30,Andre Beese
2024,16408,Bluenose,7,CAN 333,333,Bluenose,Mark Surrette
2024,16408,J70 Canadian Championship,4,CAN 404,7th Heaven,J 70,Kelly Hansen
2024,16408,Bluenose,23,Can 68,Adriatic,Bluenose,Stewart Creaser
2024,16408,Bluenose,17,CAN 469,Afterglow,Bluenose,Nathan Reece
2024,16408,PHRF-NS B 2,1,CAN 162,Apres Ski,Laser 28,Tony Thompson
2024,16408,J 105,2,CAN 211,Auster II,J105,Robert Merchant
2024,16408,Sonar,2,CAN 629,Barbarian,Sonar,Rob Barbara
2024,16408,PHRF-NS A 1,2,CAN 35034,Barchetta,1D35,Steve Davies
2024,16408,PHRF-NS B 3,7,ARG 5461,Bare Leg,J 24,Sarah Flanagan
2024,16408,Sonar,5,Can 755,Batty,Sonar,Brian Todd
2024,16408,J 105,3,CAN 351,Bear,J/105,Evan Oulahen
2024,16408,PHRF-NS A 1,9,CAN 54554,Bella J,J133,Grace Flemming
2024,16408,PHRF-NS A 1,10,Can 51450,Black Pearl,J 120,Ross Leighton
2024,16408,J70 Canadian Championship,6,CAN 357,Boost,J70,Lucas Veinotte
2024,16408,PHRF-NS A 1,8,CAN 144,Brilliance,J 120,Richard Calder
2024,16408,Classics/Pursuit A,9,USA 51,Butterfly ***,R-Boat,JESSICA BROWN
2024,16408,PHRF-NS B 2,7,256,CAREY ON,J 30,Shaun Carey
2024,16408,Bluenose,25,CAN 225,Cauldron,Bluenose,David Regan
2024,16408,Classics/Pursuit B,4,22,Cavalier,Roue 20,Andrew J Murphy
2024,16408,PHRF-NS A 1,4,CAN 39503,Chaos,Farr 395,Mark Gosine
2024,16408,IOD,2,Can 12,Coachman,IOD,Dave Mosher
2024,16408,J 105,8,323,Colmonell,J-105,Scott Christie
2024,16408,J70 Canadian Championship,8,CAN 337,Cookie Monster,J70,Reid Blynn
2024,16408,PHRF-NS A 2,7,CAN 25444,Crackerjack!!!,J 35,John Traves
2024,16408,PHRF-NS A 2,2,CAN 69,Crows,J/100,Paul Rafuse
2024,16408,Bluenose,22,B 88,Crusader,Bluenose,Dave Tzagarakis
2024,16408,Bluenose,18,342,Dark 'n' Stormy,Bluenose,Julie Mosher
2024,16408,PHRF-NS B 2,3,CAN 33149,Dark Water,C&C 33,Donald K Walker
2024,16408,Classics/Pursuit B,8,USA 24,Devious,,Jim Spatz
2024,16408,PHRF-NS A 2,1,Can 95,DogParty,J-100,Terry Mckenna
2024,16408,Sonar,3,CAN 571,Echo,Sonar,John Franklin
2024,16408,PHRF-NS B 3,3,582,Enchantress,C&C 25 Mk2,Blair Taylor
2024,16408,Classics/Pursuit A,4,CAN 56,Equinox,C&C 99,Rod Stright
2024,16408,PHRF-NS A 2,5,CAN 229,Falcon,J 35,Todd Wilson
2024,16408,Bluenose,6,CAN 101,Fish 'n Chips,Bluenose,Christian Luthi
2024,16408,PHRF-NS B 3,2,71,Flashdance,C&C 27 mkV,Donald Gass
2024,16408,Bluenose,20,B219,Flying Scotsman,Bluenose,Mark Dunkley
2024,16408,PHRF-NS B 1,1,CAN 4,Fourplay,Melges 24,Justin Bean
2024,16408,Bluenose,5,22,Geronimo,Bluenose,Aaron Stonehouse
2024,16408,Classics/Pursuit A,7,4964,Gersemi,Viking 33,Paul Bezanson
2024,16408,Bluenose,16,CAN 246,Good Energy,Bluenose,John Campbell
2024,16408,PHRF-NS B 3,1,CAN 87,Good Friday,C&C 32,Chris Davison
2024,16408,Farr 30,2,CAN 29,Goose,Farr 30,Ben Maloney
2024,16408,J70 Canadian Championship,1,CAN 317,Great White,J70,Mitchell Horn
2024,16408,J 105,7,627,Gryphon,J105,Harry Fitzgerald
2024,16408,PHRF-NS A 1,5,51111,Hardeight,Tripp 41,Savannah Taylor
2024,16408,Classics/Pursuit A,5,P1,Hayseed,Classic,Derek Prest
2024,16408,PHRF-NS B 1,5,57,Head Games,J 29,Terry Schnare
2024,16408,Farr 30,1,Can 65,Headfirst3,Farr 30,Peter Toombs
2024,16408,PHRF-NS A 1,6,15005,Helix,J 120,Jordan MacNeil
2024,16408,Bluenose,2,BN 112,Hot Sauce,Bluenose,Lisa Ross
2024,16408,PHRF-NS B 3,5,CAN 131,Hotspur,Santana 23,Tyson Hynes
2024,16408,PHRF-NS B 1,9,CAN 329,Jaeger,J 29,Chris Power
2024,16408,J 105,4,USA 500,Jahmon,J 105,Carl Davis
2024,16408,PHRF-NS A 1,3,CAN 78,Jane,J 120,Andrew Childs
2024,16408,PHRF-NS B 1,13,214,Joyride,J 29,Kevin Dempsey
2024,16408,J70 Canadian Championship,3,CAN 491,Joyridin',J70,Graeme Carr
2024,16408,PHRF-NS B 2,2,CAN 008,Just Add Water,J 30,Jesleine Baker
2024,16408,Classics/Pursuit B,7,351,Just Rite ***,Beneteau Oceanis 351,Barry BAKER
2024,16408,PHRF-NS B 3,6,566,King of Normandy,C&C 27 mk3,François Guitton
2024,16408,Bluenose,27,407,LIebchen,Bluenose,Jay Nadelson
2024,16408,J70 Canadian Championship,2,CAN 314,Lifted,J70,Federico Donzino
2024,16408,PHRF-NS B 1,6,53100,Liquid Asset,J29,Ryan Morris
2024,16408,Bluenose,28,379,Lone Star,Bluenose,Shannon Black
2024,16408,J 105,5,CAN 606,MOJO,J 105,James Mosher
2024,16408,Classics/Pursuit A,3,CAN 34539,MacIntosh,Custom,Durk Steigenga
2024,16408,Bluenose,10,116,Mahaska,Bluenose,Andreas Demone
2024,16408,J70 Canadian Championship,5,CAN 72,Manitou,J70,Rick Lalonde
2024,16408,Farr 30,4,CAN 66,Matador,Farr 30,Gregory Blunden
2024,16408,J 105,1,CAN 506,McMac,J105,Sean/Rory McDermott/Macdonald
2024,16408,Bluenose,4,69,Miss Behavior,Bluenose,Ross Romney
2024,16408,Sonar,6,CAN 462,Model T,Sonar,Graham Hart
2024,16408,Bluenose,21,253,Money shot,Bluenose,Ivan fitch Casey leblanc
2024,16408,PHRF-NS A 2,6,34591,Narwhal 5,Dash 34 custom,Allister Roy
2024,16408,Classics/Pursuit A,10,CAN 54,Njord,B 36.7,Blaine MacNeil
2024,16408,Classics/Pursuit A,12,23,OUT 'N ABOAT ***,J 9,Don McAlpine
2024,16408,PHRF-NS B 2,6,CAN 34855,On The Verge,C&C 33,Steven Robertson
2024,16408,Farr 30,3,CAN 28,One More Time,Farr 30,Rob Gale
2024,16408,Bluenose,30,CAN 221,One Way Ticket,Bluenose,Derek Leighton
2024,16408,PHRF-NS A 1,7,USA 51918,Overdraft X,Farr 40 Turbo,James Gogan
2024,16408,Sonar,7,CAN 415,PI,Sonar,Matt Shaw
2024,16408,Sonar,1,CAN 754,PING,Sonar,Andreas Josenhans
2024,16408,PHRF-NS B 1,4,222,Painkiller,J 29,Paul Fillbee-Dexter
2024,16408,PHRF-NS A 1,12,CAN 51889,Pendragon,CM 1200,Shayne Hall
2024,16408,PHRF-NS B 1,10,CAN 41465,Persistence,Frers 33,Mike / Heather Hoyt
2024,16408,Bluenose,29,382,Phantom II,Bluenose,David Wilson
2024,16408,J70 Canadian Championship,7,CAN 1160,Point Eight,J 70,Peggy Bethune
2024,16408,PHRF-NS B 1,3,CAN 8,Poohsticks,J 92,Colin Mann
2024,16408,Bluenose,8,USA 347,Privateer,Bluenose,Connor Mraz
2024,16408,Classics/Pursuit B,6,CAN 323,ROAM ***,Beneteau 323,Stephen Perrott
2024,16408,PHRF-NS B 2,5,CAN 238,Raido,Laser 28,Keith Davidson
2024,16408,PHRF-NS A 1,1,CAN 39512,Rampage,Farr 395,Graham Roy
2024,16408,Bluenose,3,B85,Rebel,Bluenose,Thomas Murphy
2024,16408,Bluenose,19,B 138,Res III,Bluenose,Mike Hill
2024,16408,IOD,3,11,Restless,IOD,Ted Murphy
2024,16408,PHRF-NS B 3,9,4097,Roguewave,Viking 28,Elizabeth Whyte
2024,16408,PHRF-NS B 2,4,863181,Rollback,Laser28,Margo Coughlin
2024,16408,Classics/Pursuit B,3,FKC 21,Rondo,Folkboat,Dayna Nelder
2024,16408,PHRF-NS B 1,11,CAN 31991,Rumblefish,J 29,Matt Wawrzyszyn
2024,16408,PHRF-NS A 2,4,CAN 105,Rush,11m OD,Andrew Boswell
2024,16408,PHRF-NS B 1,8,117,SHIFT,J29,Don Williams
2024,16408,Sonar,4,CAN 835,SOT After,Sonar,Thomas Dauphinee
2024,16408,PHRF-NS B 1,2,CAN 34429,Scotch Mist IV,J 29,Chris MacDonald
2024,16408,Bluenose,14,247,Scout,Bluenose,Michael Bowen
2024,16408,Farr 30,6,CAN 7,Second Thoughts,Farr 30,Wedlake / Bliss / Myrden
2024,16408,Classics/Pursuit A,1,P 3,Seneca ***,P Class,David Creighton
2024,16408,Bluenose,9,CAN 266,Shaken Knot Stirred,Bluenose,Malcolm Fraser
2024,16408,PHRF-NS A 1,11,CAN 50271,Silver Lining,J120,Carlisle Norwood
2024,16408,Bluenose,15,BER 190,Sirenuse,Bluenose,Hubert Watlington
2024,16408,Bluenose,11,479,Something's Bruin,Bluenose,Steve Stairs
2024,16408,Classics/Pursuit A,6,49,Spice,J/44,Chris Campbell
2024,16408,Bluenose,26,238,Spoum,Bluenose,Mathieu Dever
2024,16408,PHRF-NS B 1,7,CAN 800,Spray,Etchell,Rebecca Swan
2024,16408,Bluenose,24,B139,Stealth,Bluenose,Gregory Flynn
2024,16408,PHRF-NS B 3,4,24925,Sting,Kirby 25,Andrew Bell
2024,16408,IOD,1,13,Storm,IOD,Peter Wickwire
2024,16408,Bluenose,13,227,Teazer,Bluenose,Jason Mraz
2024,16408,Classics/Pursuit B,1,KR 1511,Terpsichore,S&S 34,Bill Haliburton
2024,16408,Classics/Pursuit B,2,14915,To'Mater 3 ***,C&C,Warren Webber
2024,16408,Classics/Pursuit B,5,1,Tortuga ***,C&C 30,Connor Buckley
2024,16408,J70 Canadian Championship,9,CAN 771,Trial,J 70,Aaron Drury
2024,16408,J 105,6,USA 51563,VTack,J 105,John Sapp
2024,16408,Classics/Pursuit A,2,32567,Vagrant,Morgan 366,Grant Gordon
2024,16408,Bluenose,12,282,Vera,Bluenose,Chris von Maltzahn
2024,16408,Classics/Pursuit A,8,CAN Q5,Virginia,Universal Q,John w Jr Wurts
2024,16408,PHRF-NS B 1,12,32,Vortex II,C&C 38,Steve Adams
2024,16408,Bluenose,1,B 257,Wahoo,Bluenose,Henry Demone
2024,16408,PHRF-NS B 3,8,117,Wai Whare,S2 7.9,Anthony Steven
2024,16408,Classics/Pursuit A,11,CAN 51223,Wildthing VI,Beneteau 42S7,Greg Hammond
2024,16408,PHRF-NS B 3,10,6307,Windward,Hunter 30-2,Jeff Leadbetter
2024,16408,Farr 30,5,CAN 17,Yardsail,Farr 30,Elsie Gillis
2024,16408,PHRF-NS A 2,3,CAN 56,Young Blood,J 100,Larry Creaser
2025,50001,Bluenose,11,CAN 469,Afterglow,Bluenose,Nathan Reece
2025,50001,Pursuit B,10,CAN 34505,Antares,Ontario 32,Jamie Moye
2025,50001,PHRF-NS A 1,8,CAN 40005,Ariadne,J/40,David Wilson
2025,50001,Pursuit B,12,339,Aristocat *,Nonsuch 30,Lyle Dobbin
2025,50001,PHRF-NS A - J105,2,CAN 211,Auster II,J105,Robert Merchant
2025,50001,PHRF-NS A 1,5,USA 30014,Bad Dog,C&C30 OD,Roby Douglas
2025,50001,PHRF-NS B 2 (Sport Boats),1,CAN 371,Bangarang,Melges 24,Justin Bean
2025,50001,PHRF-NS A 1,11,CAN 35034,Barchetta,1D35,Steve Davies
2025,50001,PHRF-NS A - J105,3,CAN 351,Bear,J/105,Evan Oulahen
2025,50001,PHRF-NS A 1,7,CAN 54554,Bella J,J133,Grace Flemming
2025,50001,PHRF-NS B 3,6,Can 41,Bewitched,B25,Stewart Creaser
2025,50001,Bluenose,18,190,Birdie,Bluenose,Hubert Watlington
2025,50001,PHRF-NS A 1,12,CAN 51450,Black Pearl,J 120,ross leighton
2025,50001,PHRF-NS B 1,12,CAN 5028,Boom,Olson 30 IB,Scott Lyons
2025,50001,PHRF-NS B 2 (Sport Boats),4,CAN 357,Boost,J70,Lucas Veinotte
2025,50001,PHRF-NS A 2,7,CAN 41088,Boss Lady,Nelson/Marek 39,Keith Dunphy
2025,50001,PHRF-NS A 1,4,CAN 144,Brilliance,J 120,Richard Calder
2025,50001,Pursuit A,6,CAN 256,CAREY ON,J 30,Shaun Carey
2025,50001,Bluenose,21,Can 225,Cauldron,Bluenose,David Regan
2025,50001,Bluenose,28,153,Change Order,Bluenose,Nick Lowe
2025,50001,PHRF-NS A 1,9,39503,Chaos,Farr 395 OD,Mark Gosine
2025,50001,IOD,4,Can 12,Coachman,IOD,Dave Mosher
2025,50001,PHRF-NS A - J105,6,323,Colmonell,J/105,Scott Christie
2025,50001,PHRF-NS A 2,8,CAN 25444,Crackerjack!!!,J 35,John Traves
2025,50001,PHRF-NS B 2 (Sport Boats),5,CAN 150,Critcal Mass,J/80,Lindsay McRory
2025,50001,PHRF-NS A 2,4,CAN 69,Crows,J/100,Paul Rafuse
2025,50001,Bluenose,16,B 88,Crusader,Bluenose,Dave Tzagarakis
2025,50001,Bluenose,12,342,Dark 'n' Stormy,Bluenose,Julie Mosher
2025,50001,PHRF-NS B 3,2,CAN 33149,Dark Water,C&C 33,Donald K Walker
2025,50001,PHRF-NS B 4,7,1934,Deep Water,J/24,Nathan Parsons
2025,50001,PHRF-NS B 4,1,CAN 87,Dirty Blonde - Good Friday,C&C32,Percy MacDonald
2025,50001,PHRF-NS A 2,2,CAN 95,DogParty,J-100,Terry McKenna
2025,50001,PHRF-NS A 1,10,CAN 50500,Dragonfly,J 130,Keith Amirault
2025,50001,PHRF-NS A - J105,9,CAN 241,Eastern Passage,J/105,John Heseltine
2025,50001,Sonar,1,CAN 571,Echo,Sonar,John Franklin
2025,50001,PHRF-NS B 1,13,CAN 29,Eclipse,C&C 99,Tyler Ford
2025,50001,PHRF-NS B 4,4,582,Enchantress,C&C 25 Mk2,Blair Taylor
2025,50001,IOD,2,5,Enigma,IOD,Max Flinn
2025,50001,PHRF-NS B 1,4,CAN 56,Equinox,C&C 99,Rod Stright
2025,50001,PHRF-NS A 2,3,CAN 229,Falcon,J 35,Todd Wilson
2025,50001,Bluenose,17,Can 274,Feather,Bluenose,Carlisle Norwood
2025,50001,Bluenose,24,CAN B 164,Fireball,Bluenose,Mike Evans
2025,50001,Bluenose,13,CAN 101,Fish 'n Chips,Bluenose,Christian Luthi
2025,50001,PHRF-NS A 2,6,CAN 1046,Five of Harts,Beneteau First 10R,Gordon Hart
2025,50001,Pursuit B,2,71,Flashdance,C&C 27 mkV,Donald Gass
2025,50001,Bluenose,6,22,Geronimo,Bluenose,Aaron Stonehouse
2025,50001,Pursuit A,1,Can 4964,Gersemi,Viking 33,Paul Bezanson
2025,50001,Farr 30,3,CAN 29,Goose,Farr 30,Ben Maloney
2025,50001,PHRF-NS B 2 (Sport Boats),2,CAN 317,Great White,J70,Mitchell Horn
2025,50001,PHRF-NS A - J105,8,627,Gryphon,J105,Harry Fitzgerald
2025,50001,Bluenose,3,Can 162,Hackmatack,Bluenose,Nicholas Lewin
2025,50001,Pursuit A,7,CAN 14909,Hardtack,C&C 33,Brian Donohue
2025,50001,Pursuit B,6,D207,Harmony,International folk boat,samad arif
2025,50001,PHRF-NS B 1,3,57,Head Games,J 29,Terry Schnare
2025,50001,Farr 30,2,CAN 65,HeadFirst3,Farr 30,Peter Toombs
2025,50001,PHRF-NS A 1,6,15005,Helix,J/120,Jordan MacNeil
2025,50001,Bluenose,7,112,Hot Sauce,Bluenose,Dale Smith
2025,50001,PHRF-NS B 4,5,131,Hotspur,Santana 23,Tyson Hynes
2025,50001,Bluenose,15,B 47,Island Girl,Bluenose,Travis Blain
2025,50001,PHRF-NS B 1,6,CAN 329,Jaeger,J/29,Chris Power
2025,50001,PHRF-NS A - J105,4,USA 500,Jahmon,J 105,Carl Davis
2025,50001,PHRF-NS A 1,2,CAN 50271,Jane,J 120,Andrew Childs
2025,50001,Bluenose,25,407,Jazzy,Bluenose,Jay Nadelson
2025,50001,PHRF-NS B 3,1,CAN 008,Just Add Water,J 30,Jesleine Baker
2025,50001,Pursuit B,13,351,Just Rite *,Beneteau Oceanis 351,Barry BAKER
2025,50001,PHRF-NS B 4,2,566,King of Normandy,C&C 27 mk3,Francois Guitton
2025,50001,PHRF-NS B 1,10,53100,Liquid Asset,J29,Ryan Morris
2025,50001,PHRF-NS A - J105,7,CAN 606,MOJO,J 105,James Mosher
2025,50001,Pursuit A,3,CAN 34539,MacIntosh,Custom,Durk Steigenga
2025,50001,Bluenose,14,B 116,Mahaska,Bluenose,Andreas Demone
2025,50001,Pursuit A,8,Can 215,Manaia *,Farr 33,Hubert Ryan
2025,50001,Farr 30,1,CAN 66,Matador,Farr 30,Greg Blunden
2025,50001,PHRF-NS A - J105,1,CAN 506,McMac,J105,Sean McDermott
2025,50001,Bluenose,2,CAN 69,Miss Behaviour,Bluenose,Ross Romney
2025,50001,Bluenose,20,253,MoneyShot,Bluenose,Casey Leblanc
2025,50001,PHRF-NS A 2,5,CAN 34591,Narwhal V,Dash 34 (Modified),David Roy
2025,50001,Pursuit B,4,34529,Nautically Hip,C&C 29,Mike Wilson
2025,50001,Farr 30,4,CAN 28,One More Time,Farr 30,Rob Gale
